Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2012-12-17,United Finance Ltd.,UFL,1,137.00,137.00,137.00,117.00,16029.00,135.00,2.00 ,Finance
2012-12-18,Yeti Finance Ltd.,,7,135.00,125.00,135.00,853.00,111865.00,123.00,12.00 ,
2012-12-19,Yeti Finance Ltd.,,4,143.00,137.00,143.00,92.00,12940.00,135.00,8.00 ,
2012-12-20,Yeti Finance Ltd.,,10,157.00,145.00,157.00,3710.00,573861.00,143.00,14.00 ,
2012-12-23,Yeti Finance Ltd.,,1,140.00,140.00,140.00,2822.00,395080.00,157.00,-17.00 ,
2012-12-24,Western Development Bank Limited,,2,86.00,86.00,86.00,24.00,2064.00,87.00,-1.00 ,
2012-12-26,Western Development Bank Limited,,1,85.00,85.00,85.00,24.00,2040.00,86.00,-1.00 ,
2012-12-27,Western Development Bank Limited,,2,85.00,84.00,85.00,24.00,2028.00,85.00,0.00 ,
2012-12-31,Western Development Bank Limited,,1,84.00,84.00,84.00,12.00,1008.00,85.00,-1.00 ,
2013-01-01,Western Development Bank Limited,,10,85.00,85.00,85.00,120.00,10200.00,84.00,1.00 ,
2013-01-02,Zenith Finance Limited,,1,103.00,103.00,103.00,22.00,2266.00,105.00,-2.00 ,
2013-01-03,Tourism Development Bank Limited,,25,99.00,98.00,98.00,3450.00,339530.00,99.00,-1.00 ,
2013-01-07,Zenith Finance Limited,,4,95.00,95.00,95.00,78.00,7410.00,95.00,0.00 ,
2013-01-08,United Finance Ltd.,UFL,1,132.00,132.00,132.00,29.00,3828.00,134.00,-2.00 ,Finance
2013-01-09,Zenith Finance Limited,,4,96.00,95.00,95.00,132.00,12660.00,95.00,0.00 ,
2013-01-10,Zenith Finance Limited,,15,96.00,95.00,95.00,642.00,61002.00,95.00,0.00 ,
2013-01-13,Zenith Finance Limited,,3,95.00,94.00,95.00,66.00,6248.00,95.00,0.00 ,
2013-01-15,Zenith Finance Limited,,9,95.00,94.00,95.00,254.00,24106.00,95.00,0.00 ,
2013-01-16,Zenith Finance Limited,,5,95.00,95.00,95.00,184.00,17480.00,95.00,0.00 ,
2013-01-17,Zenith Finance Limited,,6,96.00,95.00,95.00,368.00,34972.00,95.00,0.00 ,
2013-01-20,Yeti Finance Ltd.,,1,140.00,140.00,140.00,66.00,9240.00,140.00,0.00 ,
2013-01-21,Zenith Finance Limited,,11,95.00,95.00,95.00,132.00,12540.00,95.00,0.00 ,
2013-01-22,Zenith Finance Limited,,9,96.00,95.00,95.00,295.00,28106.00,95.00,0.00 ,
2013-01-23,Zenith Finance Limited,,5,96.00,94.00,94.00,439.00,41522.00,95.00,-1.00 ,
2013-01-24,Zenith Finance Limited,,28,95.00,93.00,93.00,964.00,90870.00,94.00,-1.00 ,
2013-01-27,Zenith Finance Limited,,7,94.00,92.00,92.00,550.00,50942.00,93.00,-1.00 ,
2013-01-28,Zenith Finance Limited,,12,95.00,91.00,95.00,746.00,69222.00,92.00,3.00 ,
2013-01-30,Zenith Finance Limited,,23,96.00,94.00,94.00,704.00,67232.00,95.00,-1.00 ,
2013-01-31,Zenith Finance Limited,,24,95.00,94.00,94.00,1720.00,163218.00,94.00,0.00 ,
2013-02-03,Zenith Finance Limited,,13,96.00,94.00,94.00,308.00,29240.00,94.00,0.00 ,
2013-02-04,Zenith Finance Limited,,5,97.00,95.00,97.00,110.00,10574.00,94.00,3.00 ,
2013-02-05,Zenith Finance Limited,,5,97.00,97.00,97.00,378.00,36666.00,97.00,0.00 ,
